id,kcbs_competition_id,url,year,month,country,created_at,updated_at
1,614,https://www.kcbs.us/event/614/gator-hammock-wild-pig-pepper-jam,2007,1,1,2018-11-17 22:27:42,2018-11-17 22:27:42
2,715,https://www.kcbs.us/event/715/lakeland-pig-festival,2007,1,1,2018-11-17 22:27:42,2018-11-17 22:27:42
3,717,https://www.kcbs.us/event/717/mitchell-co-bbq-championship-hog-wild-festival,2007,3,1,2018-11-17 22:27:43,2018-11-17 22:27:43
4,621,https://www.kcbs.us/event/621/north-kansas-city-bbq,2007,3,1,2018-11-17 22:27:43,2018-11-17 22:27:43
5,714,https://www.kcbs.us/event/714/new-mexico-pork-brew-bbq,2007,3,1,2018-11-17 22:27:43,2018-11-17 22:27:43
6,749,https://www.kcbs.us/event/749/hammond-smokin-blues-bbq-challenge,2007,3,1,2018-11-17 22:27:43,2018-11-17 22:27:43
7,798,https://www.kcbs.us/event/798/19th-annual-stillwater-elks-blazathon,2007,3,1,2018-11-17 22:27:43,2018-11-17 22:27:43
8,810,https://www.kcbs.us/event/810/benton-kiwanis-barbecue-kookoff,2007,3,1,2018-11-17 22:27:43,2018-11-17 22:27:43
9,624,https://www.kcbs.us/event/624/smokin-red-dirt-cookoff,2007,4,1,2018-11-17 22:27:43,2018-11-17 22:27:43
10,625,https://www.kcbs.us/event/625/smoke-in-the-spring,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
11,626,https://www.kcbs.us/event/626/bbqn-at-the-autry,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
12,724,https://www.kcbs.us/event/724/grilling-on-the-river,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
13,767,https://www.kcbs.us/event/767/redneck-bbq,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
14,802,https://www.kcbs.us/event/802/capital-city-cookoff,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
15,627,https://www.kcbs.us/event/627/fire-up-your-grill-benton-county-ducks-unlimited,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
16,628,https://www.kcbs.us/event/628/rock-n-ribs-bbq-festival,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
17,629,https://www.kcbs.us/event/629/marshall-rotary-club-cookoff,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
18,630,https://www.kcbs.us/event/630/ksu-wildcat-bbq,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
19,631,https://www.kcbs.us/event/631/11th-annual-kings-mountain-firehouse-cookoff,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
20,702,https://www.kcbs.us/event/702/pork-in-the-park-bbq,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
21,713,https://www.kcbs.us/event/713/20th-annual-winchester-high-on-the-hog,2007,4,1,2018-11-17 22:27:44,2018-11-17 22:27:44
